task,best_k,gain,lo,hi,n,p,metric
LaMP-1,16,0.1982065553494125,0.101010101010101,0.2993223046794476,99,0.0005,accuracy
LaMP-2,16,0.10146322497715682,0.021241987285357606,0.1708209023356474,99,0.006,macro_f1
LaMP-3,8,0.1414141414141414,0.060606060606060635,0.22222222222222224,99,0.0005,mae
LaMP-5,8,-0.017412456057779857,-0.06457942170829947,0.028052606806709766,99,0.465,rouge_1
