task,k,n_items,samples_per_item,mean_n_parsed,mean_H_norm,median_H_norm,frac_deterministic,mean_distinct,max_distinct,frac_det_correct,frac_det_incorrect,n_correct,n_incorrect,mean_Hn_correct,mean_Hn_incorrect,maj_acc,single_acc,sc_gain_acc,maj_mae,single_mae,sc_gain_mae,est_det_among_incorrect,est_frac_deterministic,est_mean_H_norm,est_self_consistency_gain,hi_det_among_incorrect,hi_frac_deterministic,hi_mean_H_norm,hi_self_consistency_gain,lo_det_among_incorrect,lo_frac_deterministic,lo_mean_H_norm,lo_self_consistency_gain,variant,temperature,model,n_boot
LaMP-2,0,39,[3],3.0,0.2700497983516419,0.0,0.5897435897435898,1.4871794871794872,3,0.6875,0.5217391304347826,16,23,0.2073450410714237,0.3136704990683154,0.41025641025641024,0.40170940170940167,0.008547008547008572,,,,0.5217391304347826,0.5897435897435898,0.2700497983516419,0.008547008547008555,0.7391304347826086,0.7435897435897436,0.37668467857142107,0.06837606837606838,0.34782608695652173,0.4358974358974359,0.16341491813186268,-0.05128205128205127,cot,1.0,claude-haiku-4-5-20251001,2000
LaMP-2,4,39,[4],4.0,0.22181414256579737,0.0,0.5641025641025641,1.5384615384615385,3,0.6666666666666666,0.4444444444444444,21,18,0.16059791661515552,0.2932330728415462,0.5384615384615384,0.5256410256410257,0.012820512820512775,,,,0.4444444444444444,0.5641025641025641,0.22181414256579737,0.01282051282051282,0.6666666666666666,0.717948717948718,0.30756698712401365,0.08333333333333333,0.2222222222222222,0.41025641025641024,0.13690957527197345,-0.05144230769230768,cot,1.0,claude-haiku-4-5-20251001,2000
LaMP-2,32,39,[3],3.0,0.42125238351647454,0.5793801642856949,0.38461538461538464,1.7692307692307692,3,0.4782608695652174,0.25,23,16,0.33886094099378034,0.5396900821428474,0.5897435897435898,0.5042735042735043,0.0854700854700855,,,,0.25,0.38461538461538464,0.42125238351647454,0.08547008547008549,0.5,0.5384615384615384,0.5401656859203164,0.1623931623931624,0.0625,0.23076923076923078,0.3146175032966953,0.017094017094017103,cot,1.0,claude-haiku-4-5-20251001,2000
LaMP-3,0,39,[4],4.0,0.14247155441783754,0.0,0.6666666666666666,1.3333333333333333,2,0.7619047619047619,0.5555555555555556,21,18,0.101074107091346,0.19076857629874436,,,,0.48717948717948717,0.4807692307692308,-0.0064102564102563875,0.5555555555555556,0.6666666666666666,0.14247155441783754,-0.00641025641025641,0.7777777777777778,0.8205128205128205,0.2041726812129211,0.057692307692307696,0.3333333333333333,0.5128205128205128,0.07764603361917519,-0.07051282051282051,cot,1.0,claude-haiku-4-5-20251001,2000
LaMP-3,4,39,[4],4.0,0.24660689094243068,0.0,0.5128205128205128,1.6153846153846154,3,0.7037037037037037,0.08333333333333333,27,12,0.12368420131877647,0.5231829425956527,,,,0.48717948717948717,0.48717948717948717,0.0,0.08333333333333333,0.5128205128205128,0.24660689094243068,0.0,0.25,0.6666666666666666,0.3291131539429814,0.08333333333333333,0.0,0.358974358974359,0.16327355760909734,-0.09615384615384616,cot,1.0,claude-haiku-4-5-20251001,2000
LaMP-3,32,39,[4],4.0,0.2097165864413828,0.0,0.5128205128205128,1.4871794871794872,2,0.5666666666666667,0.3333333333333333,30,9,0.18206765615084103,0.3018796874098555,,,,0.2564102564102564,0.5064102564102564,0.25,0.3333333333333333,0.5128205128205128,0.2097165864413828,0.25,0.6666666666666666,0.6666666666666666,0.27938112968981105,0.4230769230769231,0.10833333333333349,0.358974358974359,0.14489106564272047,0.09615384615384616,cot,1.0,claude-haiku-4-5-20251001,2000
