task,metric,n_paired,delta,delta_lo,delta_hi,delta_se,p_boot,family,model_s,k_hi,k_lo,model_hi,model_lo,sig,q_cot,gain,gain_lo,gain_hi,ceiling_bm25,ceiling_recency,resolved,n_boot,seed
LaMP-2,macro_f1,99,0.024792395055552974,-0.03895548904494714,0.0862736224559754,0.032605375489671254,0.506,signal_vs_k0,opus,1.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,0.07572774834384743,0.01547916532493638,0.13352581552192977,0.03110743453977992,0.013,signal_vs_k0,opus,2.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-2,macro_f1,99,0.11800115744652484,0.04430010907525557,0.17754475908255082,0.034414423835795654,0.0005,signal_vs_k0,opus,4.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-2,macro_f1,99,0.15157233719153224,0.06982843696698186,0.21499632796888818,0.03711630434585298,0.0005,signal_vs_k0,opus,8.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-2,macro_f1,99,0.11806917368836872,0.046122401105373266,0.18353342383793142,0.034434599978828716,0.0005,signal_vs_k0,opus,16.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-2,macro_f1,99,0.14052388770919316,0.05495218342909582,0.20923792726581458,0.04022220391025942,0.0005,signal_vs_k0,opus,32.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.18181818181818182,-0.30303030303030304,-0.06060606060606061,0.06262751038662734,0.003,signal_vs_k0,haiku,1.0,0.0,haiku,haiku,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.19191919191919188,-0.3030303030303031,-0.08080808080808083,0.05700361793323834,0.001,signal_vs_k0,haiku,2.0,0.0,haiku,haiku,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.2525252525252525,-0.36363636363636365,-0.14141414141414144,0.05615647796590382,0.0005,signal_vs_k0,haiku,4.0,0.0,haiku,haiku,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.31313131313131315,-0.4343434343434343,-0.20202020202020204,0.05733029772883073,0.0005,signal_vs_k0,haiku,8.0,0.0,haiku,haiku,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.26262626262626265,-0.38383838383838376,-0.1515151515151515,0.05871606446825264,0.0005,signal_vs_k0,haiku,16.0,0.0,haiku,haiku,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.31313131313131315,-0.4444444444444445,-0.1919191919191919,0.06426476556239813,0.0005,signal_vs_k0,haiku,32.0,0.0,haiku,haiku,,,,,,,,1,2000,12345
LaMP-3,mae,98,-0.051020408163265335,-0.1326530612244898,0.040816326530612235,0.044308348430642845,0.311,signal_vs_k0,sonnet,1.0,0.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-3,mae,96,-0.08333333333333331,-0.16666666666666666,0.0,0.040835695402184305,0.056,signal_vs_k0,sonnet,2.0,0.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-3,mae,98,-0.12244897959183676,-0.20408163265306123,-0.04081632653061226,0.04114599613518555,0.002,signal_vs_k0,sonnet,4.0,0.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-3,mae,98,-0.15306122448979592,-0.24489795918367346,-0.08163265306122447,0.04160245770123643,0.0005,signal_vs_k0,sonnet,8.0,0.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-3,mae,98,-0.14285714285714288,-0.22448979591836737,-0.06122448979591838,0.04089077261734756,0.001,signal_vs_k0,sonnet,16.0,0.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-3,mae,97,-0.14432989690721648,-0.22680412371134023,-0.061855670103092786,0.04151797280127483,0.0005,signal_vs_k0,sonnet,32.0,0.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.0505050505050505,-0.12121212121212122,0.02020202020202022,0.03675748954142534,0.213,signal_vs_k0,opus,1.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-3,mae,99,-0.09090909090909091,-0.1717171717171717,-0.01010101010101011,0.04141868149901406,0.032,signal_vs_k0,opus,2.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.1414141414141414,-0.2222222222222222,-0.07070707070707072,0.038128561053963374,0.0005,signal_vs_k0,opus,4.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.1515151515151515,-0.23232323232323232,-0.0808080808080808,0.039353887038291825,0.0005,signal_vs_k0,opus,8.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.1313131313131313,-0.2121212121212121,-0.06060606060606058,0.04002899918475654,0.0005,signal_vs_k0,opus,16.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.1313131313131313,-0.21212121212121215,-0.0505050505050505,0.04254878497953749,0.0005,signal_vs_k0,opus,32.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-5,rouge_1,99,0.024553425366203918,-0.01183484714262861,0.06279894915505788,0.019962119764803506,0.225,signal_vs_k0,haiku,1.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.03366855130860791,-0.004288511072019636,0.06949528572727262,0.01880630152840708,0.068,signal_vs_k0,haiku,2.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.0356224375486523,0.0020542505640830295,0.07015928443918978,0.017184789370060603,0.038,signal_vs_k0,haiku,8.0,0.0,haiku,haiku,,,,,,,,1,2000,12345
LaMP-5,rouge_1,99,0.030657708869222366,-0.004305020761628142,0.06733583874946598,0.018321932902024714,0.086,signal_vs_k0,haiku,16.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.025575103706225344,-0.013252898143380234,0.0633901345967772,0.01964186732242796,0.205,signal_vs_k0,haiku,32.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.006030259394396165,-0.034589783633543564,0.04601371085384554,0.020306745382333097,0.791,signal_vs_k0,sonnet,1.0,0.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.022773648766257648,-0.0256527263452897,0.06884162151988125,0.023605709931164152,0.343,signal_vs_k0,sonnet,2.0,0.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.05055390112836977,0.0050636578163970655,0.09525650711657947,0.022447299153628645,0.024,signal_vs_k0,sonnet,4.0,0.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-5,rouge_1,99,0.018092419360015266,-0.029482080923826405,0.06591860761398036,0.023893418352649406,0.447,signal_vs_k0,sonnet,8.0,0.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.027809174010159476,-0.013942738119227003,0.06905710962777963,0.021191081159564445,0.2,signal_vs_k0,sonnet,16.0,0.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-5,rouge_1,98,0.04430556578855033,0.0012643671677879014,0.09072361727962448,0.023068147723537064,0.044,signal_vs_k0,sonnet,32.0,0.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-5,rouge_1,99,-0.0008149306168194204,-0.04279671196050552,0.03991646252630712,0.020742058269450653,0.946,signal_vs_k0,opus,1.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.014281422526723875,-0.015960286045374448,0.044197566687625894,0.01546404702905769,0.358,signal_vs_k0,opus,2.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.013191183300433063,-0.0225647548690333,0.048727920377221685,0.01848471757180014,0.481,signal_vs_k0,opus,4.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.003544385781618864,-0.036286394308488165,0.04361656119822143,0.020205316017705883,0.867,signal_vs_k0,opus,8.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,-0.012858509814650865,-0.051246160658300254,0.023538334758149572,0.019519296238150304,0.524,signal_vs_k0,opus,16.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,-0.005367739383907166,-0.04409712371629146,0.031619310868548606,0.019158399762994147,0.775,signal_vs_k0,opus,32.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.04040404040404044,-0.0505050505050505,0.13131313131313133,0.045661848899068394,0.432,signal_step,haiku,1.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.030303030303030276,-0.04040404040404044,0.10101010101010105,0.03682852454145819,0.488,signal_step,haiku,2.0,1.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,-0.010101010101010055,-0.09090909090909094,0.07070707070707072,0.04154113858573626,0.901,signal_step,haiku,4.0,2.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.06060606060606055,0.0,0.13131313131313133,0.03463606010020844,0.084,signal_step,haiku,8.0,4.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.056792413935271124,-0.014226448155019607,0.12865958185507054,0.03717845510592222,0.145,signal_step,haiku,16.0,8.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,-0.026489383632240848,-0.09791795506081225,0.0505050505050505,0.037427825282682514,0.517,signal_step,haiku,32.0,16.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-1,accuracy,97,0.041237113402061876,-0.04123711340206182,0.12371134020618557,0.041528119218139106,0.365,signal_step,sonnet,1.0,0.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-1,accuracy,98,0.07142857142857145,0.0,0.15306122448979587,0.03932660267515295,0.102,signal_step,sonnet,2.0,1.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-1,accuracy,98,0.0714285714285714,0.0,0.14311224489795785,0.0370794479352251,0.071,signal_step,sonnet,4.0,2.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-1,accuracy,98,0.05102040816326536,-0.020408163265306145,0.12244897959183676,0.03776037182052792,0.21,signal_step,sonnet,8.0,4.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-1,accuracy,98,-0.030612244897959218,-0.10204081632653061,0.030612244897959218,0.03446515246877578,0.438,signal_step,sonnet,16.0,8.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-1,accuracy,98,0.04081632653061218,-0.010204081632653073,0.09183673469387754,0.02488349433905477,0.141,signal_step,sonnet,32.0,16.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.04040404040404039,-0.04040404040404044,0.12121212121212122,0.039962631645874096,0.351,signal_step,opus,1.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.07070707070707072,0.0,0.14141414141414144,0.0359658063939605,0.062,signal_step,opus,2.0,1.0,opus,opus,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.06060606060606055,-0.010101010101010055,0.13131313131313133,0.03651911944944528,0.134,signal_step,opus,4.0,2.0,opus,opus,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,-0.010101010101010055,-0.08080808080808077,0.0505050505050505,0.03339153784592659,0.84,signal_step,opus,8.0,4.0,opus,opus,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.030303030303030276,-0.030303030303030276,0.09090909090909094,0.030423212041315824,0.408,signal_step,opus,16.0,8.0,opus,opus,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,-0.0505050505050505,-0.10101010101010094,-0.010101010101010055,0.021724148480565465,0.013,signal_step,opus,32.0,16.0,opus,opus,,,,,,,,1,2000,12345
LaMP-2,macro_f1,99,-0.06278091275769293,-0.14813062732287427,0.03420328627853856,0.04553959034335318,0.253,signal_step,haiku,1.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-2,macro_f1,90,0.022707052593200605,-0.05701840797799795,0.10923617155711209,0.04288231940602314,0.536,signal_step,haiku,2.0,1.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-2,macro_f1,90,-0.00983931101578156,-0.0793538280347104,0.05984592506790772,0.03569547709768202,0.846,signal_step,haiku,4.0,2.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,0.014596551237418098,-0.047352788961762246,0.07532749172052572,0.032060262522977924,0.767,signal_step,haiku,8.0,4.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,0.02845747830267953,-0.0014828874828874737,0.061796918463133614,0.01624210329099826,0.068,signal_step,haiku,16.0,8.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,-0.018573988310830347,-0.06680770699888354,0.029622646940047948,0.02454884374001321,0.429,signal_step,haiku,32.0,16.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-2,macro_f1,91,0.03386187886187886,-0.04121431030911335,0.1033480602408289,0.03633334994528131,0.388,signal_step,sonnet,1.0,0.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-2,macro_f1,95,0.040806882029792324,-0.026801832469459212,0.10808240923282503,0.0352124647597507,0.289,signal_step,sonnet,2.0,1.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-2,macro_f1,93,0.037975227975227954,-0.046169584255656045,0.1158303801816176,0.04111877862029358,0.394,signal_step,sonnet,4.0,2.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-2,macro_f1,93,0.046027348411249336,-0.03333649891270012,0.11836244868993935,0.03891320681830396,0.283,signal_step,sonnet,8.0,4.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,0.009066247564699592,-0.028658834495094654,0.04782672275027667,0.019587271036254014,0.638,signal_step,sonnet,16.0,8.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-2,macro_f1,98,0.005451635745753414,-0.04634741163909472,0.05640617383507209,0.026630553756761953,0.826,signal_step,sonnet,32.0,16.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,0.024792395055552974,-0.03895548904494714,0.0862736224559754,0.032605375489671254,0.506,signal_step,opus,1.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,0.05093535328829446,-0.00996251880858477,0.11385980742862058,0.0314841550251776,0.11,signal_step,opus,2.0,1.0,opus,opus,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,0.042273409102677406,-0.015787579197788407,0.1007916132498446,0.029975876760808554,0.181,signal_step,opus,4.0,2.0,opus,opus,,,,,,,,0,2000,12345
